sk_cliente,id_cliente,nome_cliente,segmento_cliente,canal_aquisicao,uf_cliente,data_cadastro,faixa_etaria,ativo
106,CLI00106,Kamilly Cirino,PJ - Frota Grande,CRM Ativo,CE,2022-02-21,26-35,True
107,CLI00107,Maria Clara Costela,PF - Varejo,Showroom,PR,2021-07-25,36-45,True
108,CLI00108,Davi Lucca Azevedo,PJ - Frota Grande,Indicação,MG,2021-11-01,18-25,True
109,CLI00109,Dr. Erick Camargo,PF - Varejo,Indicação,SP,2023-01-19,26-35,True
110,CLI00110,Ana Montenegro,PF - Premium,Showroom,PR,2022-10-26,56+,True
111,CLI00111,Fernanda Ramos,PF - Varejo,Digital,DF,2022-10-19,26-35,True
112,CLI00112,Dra. Ana Sophia Caldeira,PJ - Frota Grande,Indicação,ES,2022-04-06,18-25,True
113,CLI00113,Maria Julia Mendonça,PJ - Frota Pequena,Digital,ES,2022-01-19,18-25,True
114,CLI00114,Cecilia Barbosa,PF - Premium,CRM Ativo,MG,2021-11-25,36-45,True
115,CLI00115,Ana Beatriz Cunha,PF - Premium,Digital,RS,2021-08-16,36-45,True
116,CLI00116,Joana Sá,PJ - Frota Grande,Indicação,RJ,2022-05-26,56+,True
117,CLI00117,Otávio Ramos,PJ - Frota Pequena,Digital,RS,2021-10-26,26-35,True
118,CLI00118,Théo da Rocha,PF - Varejo,Digital,RJ,2021-03-12,36-45,True
119,CLI00119,Mariane Dias,PF - Varejo,CRM Ativo,ES,2022-07-10,46-55,True
120,CLI00120,Dr. Enrico Lopes,PF - Premium,Digital,GO,2023-04-04,46-55,True
121,CLI00121,Cauã Cunha,PF - Varejo,Fidelização,GO,2022-05-16,56+,True
122,CLI00122,Erick Barbosa,PJ - Frota Pequena,Recall,RJ,2021-04-26,56+,True
123,CLI00123,Lívia Nunes,PJ - Frota Pequena,Indicação,SP,2021-09-12,26-35,True
124,CLI00124,Natália Farias,PJ - Frota Pequena,CRM Ativo,SP,2022-07-13,36-45,True
125,CLI00125,Marcelo da Cruz,PF - Varejo,CRM Ativo,DF,2022-04-27,46-55,True
126,CLI00126,Clara Montenegro,PF - Varejo,Digital,SP,2021-08-17,18-25,True
127,CLI00127,Dra. Maria Júlia Porto,PJ - Frota Pequena,Fidelização,ES,2021-12-22,56+,True
128,CLI00128,Emanuella Pimenta,PF - Premium,Showroom,PE,2022-02-06,46-55,True
129,CLI00129,Pedro Lucas da Rosa,PF - Varejo,Digital,SP,2023-03-09,56+,True
130,CLI00130,Dante Siqueira,PF - Premium,Indicação,RS,2023-02-28,36-45,True
131,CLI00131,Sra. Lívia Pereira,PF - Varejo,Indicação,RS,2023-03-20,36-45,True
132,CLI00132,Cecilia Pires,PJ - Frota Pequena,Digital,DF,2022-02-10,36-45,True
133,CLI00133,Thomas da Cruz,PF - Premium,Fidelização,RJ,2021-03-02,26-35,True
134,CLI00134,Zoe Costela,PF - Varejo,Showroom,RS,2021-02-03,46-55,True
135,CLI00135,Asafe Borges,PF - Varejo,Indicação,SP,2023-06-27,26-35,True
136,CLI00136,Caio Sá,PF - Premium,Digital,MG,2022-04-12,56+,True
137,CLI00137,Bárbara Pereira,PF - Varejo,Digital,CE,2021-12-14,36-45,True
138,CLI00138,Isabel da Paz,PF - Premium,Fidelização,PE,2021-09-17,26-35,True
139,CLI00139,Mariane da Mota,PJ - Frota Grande,Digital,SP,2023-02-11,36-45,True
140,CLI00140,Matteo Moraes,PJ - Frota Grande,Digital,RJ,2021-11-09,36-45,True
141,CLI00141,Dra. Isabela Albuquerque,PF - Varejo,Indicação,SP,2021-12-27,26-35,True
142,CLI00142,Bernardo Albuquerque,PF - Varejo,Indicação,RS,2022-03-06,26-35,True
143,CLI00143,Olivia Aragão,PF - Varejo,Fidelização,MG,2022-03-28,36-45,True
144,CLI00144,Theodoro Montenegro,PF - Varejo,Indicação,SP,2022-10-12,26-35,True
145,CLI00145,Lucas da Rosa,PF - Varejo,Indicação,SP,2021-09-21,26-35,True
146,CLI00146,Gustavo Freitas,PF - Varejo,Indicação,RJ,2021-03-09,36-45,True
147,CLI00147,Rael da Luz,PF - Premium,Indicação,CE,2021-03-21,36-45,True
148,CLI00148,Sra. Ísis da Rosa,PF - Varejo,Fidelização,PE,2023-02-07,18-25,True
149,CLI00149,Rael Melo,PF - Varejo,Fidelização,BA,2021-05-30,26-35,True
150,CLI00150,Laís Gomes,PF - Varejo,Digital,MG,2021-09-03,36-45,True
151,CLI00151,Joana Nogueira,PF - Varejo,Digital,BA,2021-12-25,18-25,True
152,CLI00152,Luiza Cavalcanti,PF - Varejo,Showroom,SC,2021-05-03,36-45,True
153,CLI00153,Emanuel Cunha,PF - Premium,Indicação,MG,2021-01-12,36-45,True
154,CLI00154,Letícia Guerra,PF - Varejo,Digital,RJ,2022-01-14,18-25,True
155,CLI00155,Joaquim Barbosa,PF - Varejo,Indicação,RJ,2021-01-13,26-35,True
156,CLI00156,Davi Novaes,PJ - Frota Pequena,Recall,RS,2023-03-04,46-55,True
157,CLI00157,Maria Júlia Correia,PF - Varejo,Indicação,MG,2022-11-11,36-45,True
158,CLI00158,Thomas Mendonça,PJ - Frota Pequena,Digital,SP,2021-03-20,26-35,True
159,CLI00159,Mariana Araújo,PF - Varejo,Recall,PR,2022-09-26,26-35,True
160,CLI00160,Ana Beatriz Leão,PJ - Frota Grande,Recall,SP,2022-04-19,26-35,True
161,CLI00161,Léo Melo,PF - Varejo,Indicação,SP,2023-06-04,26-35,True
162,CLI00162,Emanuel Cunha,PF - Varejo,Indicação,SC,2022-06-03,18-25,True
163,CLI00163,Renan Fonseca,PF - Premium,Digital,ES,2022-05-09,26-35,True
164,CLI00164,Davi Luiz Silveira,PF - Varejo,CRM Ativo,DF,2021-05-19,46-55,True
165,CLI00165,Luna Melo,PF - Varejo,Indicação,RS,2022-02-14,56+,True
166,CLI00166,Ana Liz Pinto,PF - Premium,Recall,SP,2021-01-16,46-55,True
167,CLI00167,Rodrigo Casa Grande,PF - Varejo,Digital,MG,2023-02-21,36-45,True
168,CLI00168,Enzo Gabriel Garcia,PF - Varejo,Indicação,PR,2021-06-01,26-35,True
169,CLI00169,Danilo Sá,PF - Premium,Indicação,MG,2022-01-04,36-45,True
170,CLI00170,Guilherme Nascimento,PF - Varejo,Digital,SP,2021-11-25,18-25,True
171,CLI00171,Joaquim Cunha,PJ - Frota Grande,Digital,GO,2021-11-02,26-35,True
172,CLI00172,Ana Sales,PF - Premium,Showroom,PR,2022-10-14,36-45,True
173,CLI00173,Helena Andrade,PF - Varejo,Digital,PE,2022-02-18,46-55,True
174,CLI00174,Isabelly Moura,PJ - Frota Grande,Indicação,BA,2021-11-23,56+,True
175,CLI00175,Vinícius Pacheco,PF - Varejo,Indicação,BA,2023-03-22,36-45,True
176,CLI00176,Enrico Borges,PJ - Frota Pequena,Indicação,CE,2021-04-25,26-35,True
177,CLI00177,Fernanda Correia,PF - Varejo,Indicação,GO,2023-05-11,36-45,True
178,CLI00178,Yuri Vargas,PF - Premium,Digital,DF,2022-09-12,36-45,True
179,CLI00179,Lorenzo Ramos,PJ - Frota Pequena,Digital,RJ,2022-04-23,36-45,True
180,CLI00180,Joaquim Aparecida,PF - Varejo,Showroom,MG,2021-07-03,26-35,True
181,CLI00181,Lívia Sá,PJ - Frota Pequena,Digital,PR,2022-04-04,56+,True
182,CLI00182,Sr. Leonardo Sá,PF - Premium,Indicação,PE,2023-06-13,36-45,True
183,CLI00183,Ísis da Paz,PF - Varejo,Indicação,CE,2021-09-02,36-45,True
184,CLI00184,Enzo Gabriel Ferreira,PF - Premium,Fidelização,CE,2021-09-15,26-35,True
185,CLI00185,Isaque Borges,PF - Varejo,Indicação,BA,2022-11-06,18-25,True
186,CLI00186,Maria Alice Abreu,PF - Premium,Showroom,DF,2022-01-03,26-35,True
187,CLI00187,José Pedro Cirino,PJ - Frota Pequena,Indicação,DF,2022-06-10,26-35,True
188,CLI00188,Dra. Giovanna Araújo,PF - Varejo,Showroom,SP,2022-11-07,26-35,True
189,CLI00189,Murilo Araújo,PJ - Frota Pequena,Showroom,RS,2022-01-19,46-55,True
190,CLI00190,Anthony Gabriel Cavalcanti,PF - Premium,Digital,RJ,2023-02-22,26-35,True
191,CLI00191,Davi Miguel Farias,PJ - Frota Grande,Recall,RJ,2022-06-07,36-45,True
192,CLI00192,Alice Duarte,PJ - Frota Grande,Indicação,PR,2022-10-19,36-45,True
193,CLI00193,Srta. Ana Carolina Ramos,PF - Premium,Indicação,DF,2021-06-12,56+,True
194,CLI00194,Natália Camargo,PF - Premium,Showroom,PE,2022-01-30,46-55,True
195,CLI00195,Maria Alice Martins,PF - Varejo,Recall,PR,2022-07-10,36-45,True
196,CLI00196,Sra. Lunna Cunha,PJ - Frota Pequena,CRM Ativo,PE,2022-12-09,36-45,True
197,CLI00197,Paulo Teixeira,PF - Varejo,CRM Ativo,GO,2021-08-02,26-35,True
198,CLI00198,Anthony Gabriel Pinto,PJ - Frota Grande,Fidelização,MG,2021-06-19,36-45,True
199,CLI00199,Ana Clara Azevedo,PF - Varejo,Indicação,RJ,2023-01-18,46-55,True
200,CLI00200,Srta. Lívia Novais,PF - Varejo,Digital,RJ,2023-03-24,36-45,True
201,CLI00201,Murilo da Costa,PJ - Frota Grande,Digital,RJ,2021-03-14,46-55,True
202,CLI00202,Léo Pastor,PF - Varejo,Indicação,MG,2021-03-14,26-35,True
203,CLI00203,Kamilly da Costa,PF - Varejo,Digital,RJ,2022-09-14,56+,True
204,CLI00204,Sophia Alves,PF - Varejo,Recall,RS,2021-05-19,18-25,True
205,CLI00205,Bruno Silva,PF - Premium,Indicação,ES,2021-02-01,26-35,True
206,CLI00206,Liz Aragão,PF - Varejo,Indicação,ES,2023-06-03,36-45,True
207,CLI00207,Hadassa Rodrigues,PF - Premium,Indicação,BA,2021-03-01,26-35,True
208,CLI00208,Luana da Luz,PJ - Frota Pequena,Indicação,SP,2023-05-19,18-25,True
209,CLI00209,Ana Carolina Costela,PF - Varejo,Recall,SP,2022-04-25,46-55,True
210,CLI00210,Maria Clara Rodrigues,PF - Varejo,Digital,MG,2022-04-26,36-45,True
211,CLI00211,Juliana Carvalho,PF - Premium,Indicação,SP,2022-07-30,46-55,True
212,CLI00212,Srta. Ana Laura Casa Grande,PJ - Frota Grande,Digital,SP,2023-05-18,36-45,True
213,CLI00213,Gustavo Henrique da Conceição,PF - Varejo,Indicação,SP,2023-05-05,46-55,True
214,CLI00214,Davi Lucas Alves,PF - Premium,Indicação,SP,2023-01-05,26-35,True
215,CLI00215,Theodoro Dias,PF - Premium,Indicação,SP,2022-12-07,46-55,True
216,CLI00216,Clarice Cardoso,PF - Varejo,Showroom,SP,2021-10-11,18-25,True
217,CLI00217,Julia Peixoto,PF - Varejo,Showroom,DF,2022-10-12,46-55,True
218,CLI00218,Guilherme Cardoso,PF - Varejo,Showroom,SP,2021-10-14,26-35,True
219,CLI00219,Bárbara Castro,PJ - Frota Pequena,Indicação,SP,2021-05-10,26-35,True
220,CLI00220,Dante Monteiro,PF - Varejo,Indicação,PR,2022-10-24,36-45,True
221,CLI00221,Theo Novais,PJ - Frota Pequena,Fidelização,RJ,2022-01-08,26-35,True
222,CLI00222,João Miguel da Mota,PF - Varejo,Recall,SP,2021-10-07,36-45,True
223,CLI00223,Maria Laura Moraes,PF - Varejo,Recall,MG,2021-11-26,26-35,True
224,CLI00224,Zoe Jesus,PJ - Frota Grande,Showroom,SP,2022-03-12,46-55,True
225,CLI00225,Luan Garcia,PF - Varejo,Fidelização,CE,2023-03-26,36-45,True
226,CLI00226,Luiz Gustavo Farias,PF - Varejo,Digital,PR,2021-01-27,36-45,True
227,CLI00227,Benjamim Moreira,PF - Varejo,Indicação,GO,2021-02-17,56+,True
228,CLI00228,Julia Marques,PF - Premium,Indicação,SP,2021-07-14,18-25,True
229,CLI00229,Jade Andrade,PJ - Frota Grande,Indicação,PR,2021-11-10,26-35,True
230,CLI00230,Lucas Gabriel Pacheco,PF - Premium,Showroom,GO,2022-07-22,26-35,True
231,CLI00231,Lavínia Souza,PF - Varejo,Indicação,SC,2022-10-06,46-55,True
232,CLI00232,Dr. Benjamim Câmara,PF - Premium,Recall,RS,2022-04-04,26-35,True
233,CLI00233,Oliver da Luz,PJ - Frota Grande,Digital,RJ,2023-06-11,36-45,True
234,CLI00234,Enrico Porto,PF - Varejo,Indicação,BA,2021-09-28,18-25,True
235,CLI00235,Dr. Alexandre da Conceição,PF - Premium,Indicação,RJ,2022-07-23,26-35,True
236,CLI00236,Eloá Costela,PF - Varejo,Showroom,RJ,2021-02-05,36-45,True
237,CLI00237,Sophia Cunha,PF - Varejo,Showroom,PE,2021-01-14,46-55,True
238,CLI00238,Dr. Luiz Miguel Sousa,PF - Varejo,Indicação,SP,2021-07-22,36-45,True
239,CLI00239,Sr. Luiz Henrique Nunes,PF - Varejo,Digital,PR,2021-05-03,26-35,True
240,CLI00240,Erick Nascimento,PJ - Frota Pequena,Indicação,SP,2022-08-17,46-55,True
241,CLI00241,Agatha Melo,PF - Varejo,Showroom,MG,2022-11-04,26-35,True
242,CLI00242,José Pedro Caldeira,PJ - Frota Pequena,Showroom,BA,2021-06-13,26-35,True
243,CLI00243,Sra. Marina Câmara,PF - Premium,Digital,SP,2021-01-23,56+,True
244,CLI00244,Heloisa Ribeiro,PF - Varejo,CRM Ativo,MG,2022-12-13,26-35,True
245,CLI00245,Eduardo Aragão,PF - Premium,Fidelização,BA,2022-10-17,46-55,True
246,CLI00246,Alice Moreira,PF - Premium,Showroom,DF,2023-01-14,26-35,True
247,CLI00247,Gabrielly Lima,PF - Varejo,Indicação,ES,2021-10-27,56+,True
248,CLI00248,Anthony Nunes,PF - Varejo,Showroom,PE,2021-09-25,26-35,True
249,CLI00249,Leonardo Martins,PF - Premium,Fidelização,SP,2022-09-10,46-55,True
250,CLI00250,Arthur Fogaça,PF - Varejo,CRM Ativo,ES,2021-05-20,56+,True
251,CLI00251,Davi Dias,PF - Varejo,Fidelização,DF,2021-01-19,26-35,True
252,CLI00252,Antony da Mata,PJ - Frota Pequena,Indicação,PR,2022-01-20,26-35,True
253,CLI00253,Letícia Rezende,PF - Varejo,Indicação,BA,2022-09-14,26-35,True
254,CLI00254,Henry Gabriel Rezende,PJ - Frota Pequena,Indicação,RJ,2022-09-17,36-45,True
255,CLI00255,João Guilherme da Cruz,PJ - Frota Pequena,Digital,RS,2023-01-16,56+,True
256,CLI00256,Enzo Gabriel da Costa,PF - Premium,Indicação,SP,2021-12-22,46-55,True
257,CLI00257,Antony Fogaça,PF - Varejo,Fidelização,MG,2021-02-09,56+,True
258,CLI00258,Rafael Vasconcelos,PJ - Frota Pequena,CRM Ativo,RJ,2021-08-24,46-55,True
259,CLI00259,Breno Sampaio,PF - Varejo,Digital,RS,2022-07-11,46-55,True
260,CLI00260,Lara Câmara,PJ - Frota Grande,Showroom,RJ,2022-12-30,36-45,True
261,CLI00261,Luiz Gustavo Cassiano,PJ - Frota Pequena,Indicação,SP,2023-02-13,26-35,True
262,CLI00262,Thales Aragão,PF - Varejo,Digital,SP,2021-07-14,18-25,True
263,CLI00263,Ravi da Cunha,PF - Varejo,CRM Ativo,MG,2023-04-19,36-45,True
264,CLI00264,Leonardo Lopes,PF - Premium,Indicação,PE,2021-03-02,46-55,True
265,CLI00265,Felipe Almeida,PF - Varejo,Digital,DF,2022-08-30,56+,True
266,CLI00266,Yago Viana,PF - Varejo,Recall,SP,2021-05-02,56+,True
267,CLI00267,Dr. Kevin Cardoso,PF - Varejo,CRM Ativo,RS,2021-06-25,36-45,True
268,CLI00268,Oliver Cavalcanti,PF - Premium,Indicação,SP,2022-12-09,26-35,True
269,CLI00269,Giovanna Freitas,PF - Varejo,Showroom,RJ,2021-06-10,18-25,True
270,CLI00270,Zoe Cavalcante,PJ - Frota Grande,Fidelização,PE,2021-01-05,56+,True
271,CLI00271,Sr. Luiz Miguel Marques,PF - Varejo,Digital,CE,2023-01-29,46-55,True
272,CLI00272,Sr. Augusto Lopes,PF - Varejo,Fidelização,SP,2022-08-23,26-35,True
273,CLI00273,Lorenzo Mendonça,PF - Premium,Recall,PR,2021-06-01,18-25,True
274,CLI00274,Sr. Dante Barros,PJ - Frota Pequena,Digital,SP,2022-10-24,56+,True
275,CLI00275,Miguel Macedo,PJ - Frota Grande,Fidelização,GO,2022-10-05,36-45,True
276,CLI00276,Enzo Campos,PF - Premium,Indicação,RJ,2023-02-26,26-35,True
277,CLI00277,Ana Luiza da Mota,PF - Varejo,Showroom,MG,2023-04-27,18-25,True
278,CLI00278,Maria Clara Nunes,PF - Varejo,Showroom,SP,2021-01-16,46-55,True
279,CLI00279,Dr. Ravi Melo,PF - Varejo,Digital,PR,2022-07-31,46-55,True
280,CLI00280,Giovanna Azevedo,PF - Varejo,Showroom,PR,2021-12-05,26-35,True
281,CLI00281,Natália da Cruz,PJ - Frota Pequena,Showroom,RS,2022-12-17,46-55,True
282,CLI00282,Mirella Souza,PJ - Frota Pequena,Showroom,GO,2021-05-08,46-55,True
283,CLI00283,Bruno Abreu,PF - Premium,Recall,CE,2023-05-05,26-35,True
284,CLI00284,Nicolas da Rocha,PJ - Frota Pequena,Fidelização,SP,2023-06-13,46-55,True
285,CLI00285,Pietra Porto,PF - Varejo,Digital,BA,2022-10-29,26-35,True
286,CLI00286,Gael Henrique Lima,PJ - Frota Pequena,Fidelização,MG,2021-02-08,18-25,True
287,CLI00287,Valentim Teixeira,PF - Varejo,Recall,ES,2021-11-26,36-45,True
288,CLI00288,Maria Flor Farias,PF - Varejo,Recall,MG,2021-02-04,46-55,True
